"","x"
"manila",1
"manpow",1
"marabong",1
"margin",1
"marshal",1
"mask",1
"master",1
"mawa",1
"median",1
"medic",1
"membership",1
"memori",1
"men",1
"mentor",1
"mesh",1
"methan",1
"mfem",1
"mff",1
"mfi",1
"microenterpris",1
"microloan",1
"midpoint",1
"migrant",1
"millenium",1
"millimet",1
"mindanao",1
"mindset",1
"mine",1
"minimum",1
"misalloc",1
"mismatch",1
"mistak",1
"misus",1
"moa",1
"moad",1
"mode",1
"modest",1
"moe",1
"mof",1
"moh",1
"moi",1
"monarchi",1
"monk",1
"mor",1
"movement",1
"mre",1
"mrtt",1
"msmes",1
"mtr",1
"multiag",1
"multicompon",1
"multicountri",1
"multidimension",1
"multidonor",1
"multilater",1
"mwrlr",1
"nai",1
"napc",1
"narrow",1
"ndb",1
"ndtf",1
"nearbi",1
"neda",1
"neighbor",1
"neighborhood",1
"netherland",1
"nfa",1
"nha",1
"nhai",1
"nhb",1
"nieur",1
"nobl",1
"nomin",1
"nonagricultur",1
"nonbank",1
"noncompli",1
"nonexist",1
"nonfarm",1
"nonfinanci",1
"nonrecipi",1
"nonviabl",1
"notic",1
"notwithstand",1
"nptc",1
"nrw",1
"ntfps",1
"nullifi",1
"nzaid",1
"oblast",1
"obligor",1
"obsolesc",1
"offtak",1
"oftentim",1
"oil",1
"onset",1
"onstream",1
"opin",1
"opposit",1
"opt",1
"ordin",1
"ordinari",1
"ostens",1
"outpac",1
"outstand",1
"overambiti",1
"overcom",1
"overdepend",1
"overlook",1
"overpr",1
"overs",1
"overstaf",1
"overwhelm",1
"overwrought",1
"pad",1
"paraphras",1
"pari",1
"parliamentari",1
"pasig",1
"pattern",1
"payoff",1
"pbi",1
"pcb",1
"peac",1
"pedagog",1
"pedagogi",1
"peer",1
"pefga",1
"pembangunan",1
"penetr",1
"pengawasan",1
"perenni",1
"perfect",1
"perman",1
"permiss",1
"perpetu",1
"persever",1
"persuas",1
"peso",1
"pest",1
"pesticid",1
"pfi",1
"pgcb",1
"phc",1
"phu",1
"pick",1
"piecem",1
"pio",1
"pius",1
"plagu",1
"planner",1
"plantat",1
"plausibl",1
"plenti",1
"pmpl",1
"polic",1
"policymak",1
"politic",1
"pool",1
"popular",1
"possess",1
"postal",1
"pourashava",1
"ppg",1
"ppius",1
"ppme",1
"ppp",1
"ppsb",1
"practition",1
"pradesh",1
"pradeshiya",1
"pras",1
"prcï",1
"precis",1
"preconceiv",1
"predecessor",1
"predict",1
"preempt",1
"prematur",1
"prepay",1
"prerequisit",1
"presenc",1
"prima",1
"primarili",1
"prime",1
"princip",1
"prm",1
"probabl",1
"problemat",1
"problemï",1
"proclaim",1
"procurementï",1
"profil",1
"programm",1
"projecct",1
"projectï",1
"promis",1
"promulg",1
"prone",1
"propag",1
"proprietari",1
"prorat",1
"prrc",1
"prscs",1
"prudenc",1
"psd",1
"psdp",1
"psos",1
"pump",1
"punit",1
"pursuit",1
"pwd",1
"quantifi",1
"quantiti",1
"queue",1
"quicker",1
"rail",1
"rain",1
"rank",1
"rapport",1
"rational",1
"raw",1
"rbcs",1
"rda",1
"rdmos",1
"realign",1
"realism",1
"reap",1
"reapprais",1
"rebalanc",1
"rebuilt",1
"recharg",1
"recip",1
"reclam",1
"recours",1
"recur",1
"redress",1
"redund",1
"reef",1
"reemerg",1
"reestim",1
"reflow",1
"registri",1
"relend",1
"reloc",1
"remark",1
"remc",1
"render",1
"rent",1
"rental",1
"reoprt",1
"reorient",1
"reort",1
"resettlementï",1
"resili",1
"respiratori",1
"restrain",1
"resum",1
"retent",1
"retrench",1
"retro",1
"retrospect",1
"revers",1
"revisit",1
"rich",1
"richer",1
"riski",1
"riverbank",1
"roadmap",1
"room",1
"root",1
"rosi",1
"rout",1
"rpcs",1
"rrps",1
"ruc",1
"run",1
"rush",1
"sabha",1
"sacrif",1
"safe",1
"samoa",1
"sampl",1
"sanxai",1
"satisfactori",1
"scatter",1
"scenario",1
"scene",1
"scientif",1
"seafar",1
"seamless",1
"search",1
"seb",1
"sec",1
"seed",1
"segreg",1
"seiz",1
"sell",1
"sentenc",1
"sentiment",1
"serious",1
"servant",1
"ses",1
"settl",1
"setup",1
"sewerag",1
"shaanxi",1
"shock",1
"shortcut",1
"shorten",1
"siem",1
"siprp",1
"sizabl",1
"skeptic",1
"skid",1
"sludg",1
"slum",1
"smallhold",1
"smeda",1
"societi",1
"sociopolit",1
"sooner",1
"sophist",1
"sovereign",1
"span",1
"spars",1
"spatial",1
"spc",1
"spell",1
"spent",1
"spfmp",1
"spite",1
"sport",1
"ssta",1
"stabl",1
"stall",1
"stanc",1
"standalon",1
"startup",1
"steadi",1
"steadili",1
"stem",1
"stiff",1
"stifl",1
"stock",1
"store",1
"strain",1
"strap",1
"stray",1
"stream",1
"stretch",1
"stricter",1
"struck",1
"subnat",1
"subscrib",1
"subscript",1
"subsector",1
"subsist",1
"substanc",1
"subsum",1
"sudden",1
"sum",1
"summari",1
"sundarban",1
"supervisor",1
"supplier",1
"suppos",1
"surpris",1
"surround",1
"surviv",1
"suscept",1
"suspend",1
"switch",1
"switchyard",1
"sxec",1
"syndrom",1
"tactic",1
"tajik",1
"tandem",1
"tangibl",1
"tas",1
"tasmu",1
"tdb",1
"tea",1
"teamwork",1
"temir",1
"templat",1
"temporarili",1
"tendenc",1
"tentat",1
"tenuous",1
"textbook",1
"thailand",1
"thecombin",1
"thegovern",1
"theoret",1
"theori",1
"thereto",1
"thing",1
"think",1
"third",1
"thwart",1
"tight",1
"tighter",1
"timber",1
"timor",1
"topograph",1
"tough",1
"tougher",1
"tour",1
"tourism",1
"tractor",1
"traine",1
"trainer",1
"trajectori",1
"tranc",1
"translat",1
"transpos",1
"travel",1
"treasuri",1
"tremend",1
"tribal",1
"trip",1
"truck",1
"truncat",1
"turanalem",1
"turnaround",1
"turnkey",1
"typifi",1
"uai",1
"ubcca",1
"unavail",1
"uncertain",1
"underachiev",1
"undercapit",1
"underground",1
"underlin",1
"underperform",1
"underrun",1
"underserv",1
"underw",1
"underway",1
"underwrit",1
"unduli",1
"unfortun",1
"unidentifi",1
"unilater",1
"unintend",1
"uninterrupt",1
"unpaid",1
"unpreced",1
"unpredict",1
"unqualifi",1
"unreli",1
"unrest",1
"unsatisfactori",1
"unsettl",1
"unstabl",1
"unstandard",1
"untri",1
"unus",1
"unusu",1
"unwarr",1
"unwil",1
"uphold",1
"upstream",1
"uptak",1
"urgenc",1
"usabl",1
"usual",1
"vagu",1
"vai",1
"varieti",1
"vct",1
"vec",1
"vehicular",1
"vein",1
"vendor",1
"veterinarian",1
"vie",1
"vietnam",1
"vietnames",1
"vigil",1
"virtual",1
"vision",1
"vocat",1
"volunt",1
"wait",1
"watch",1
"watersh",1
"watertight",1
"wawar",1
"wch",1
"websit",1
"week",1
"weigh",1
"wet",1
"wetland",1
"whereabout",1
"wholli",1
"widen",1
"widow",1
"wildlif",1
"win",1
"window",1
"winner",1
"withhold",1
"wmcas",1
"wmg",1
"woman",1
"workload",1
"workmanship",1
"workshop",1
"worsen",1
"worst",1
"worthi",1
"wrap",1
"wuaf",1
"wuhan",1
"wwtp",1
"wyrc",1
"wzpdcl",1
"xarr",1
"xiyu",1
"young",1
"yullari",1
"yunnan",1
"zealand",1
"zone",1
