Report Title,Report Description,Report Link,Report Approval Date:,Report Cover,Choose COUNTRIES,Choose REGION,Choose Report Type,Choose Project/Program Completion Reports (PCR) rating,Choose Validation of Project/Program Completion Report rating,Choose Project/Program Performance Evaluation Report (PPER) rating,Choose Technical Assistance Performance Evaluation (TPER) rating,Choose Project/Program Performance Audit Report rating,Choose Technical Assistance Completion Report rating,IED Reference Number,LESSONS,Project Title,Project Number,Project Summary,Project Data Sheet Link:,I. CHOOSE SECTOR,"Choose Agriculture, Natural Resources, and Rural Development subsector",Choose Education subsector,Choose Energy subsector,Choose Finance subsector,Choose Health subsector,Choose Industry and Trade subsector,Choose Information and Communication Technology subsector,Choose Public Sector Management subsector,Choose Transport subsector,Choose Water and Other Urban Infrastructure and Services subsector,Choose Multisector subsector,II. CHOOSE STRATEGIC AGENDAS,Choose Inclusive Economic Growth pillar,Choose Environmentally Sustainable Growth subcategory,Choose Regional Integration pillar,III. CHOOSE DRIVERS OF CHANGE,Choose Private Sector Development and Private Sector Operations subcategory,Choose Governance and Capacity Development subcategory,Choose Gender Equity and Mainstreaming subcategory,Choose Knowledge Solutions subcategory,Choose Partnerships (Type of Partner) subcategory,Choose Partnerships (Nature of Partnership) subcategory,Loan Number,Grant Number,Technical Assistance Number,Private Sector Loan Number,MFF Number,PVR Name,Validated Lessons,PVR Link,Tags,User ID,Timestamp,Last Updated,Created By,Updated By,Draft,IP,ID,Key
People's Republic of China: Xi'an Urban Transport Project,,http://www.adb.org/documents/people-s-republic-china-xi-urban-transport-project,17-12-12,,China,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,,"This validation agrees with the lessons identified by the project completion report (PCR). The comprehensive and meticulous preparation, extensive coordination, strong political will and resolve, and sound technical capacity contributed to the project's success and efficient implementation. This validation disagrees with the PCR's suggestion that a more accurate detailed design would have helped minimize resettlement costs. The government had approved after appraisal the policy that increased compensation for resettlement. Streamlining the domestic processing system will certainly expedite project implementation.","China, People's Republic of: Xi'an Urban Transport Project",33459-013,"The principal objective of the Project is to promote economic growth in Xi'an Municipality by relieving transport infrastructure bottlenecks. The Project will develop an efficient, safe, and environmentally sustainable urban transport system, thereby (i) strengthening institutional capacity by improved coordination among municipal government agencies concerned, (ii) improving traffic management and safety, (iii) enhancing vehicle emission control, and (iv) expanding the capacity of urban roads.",http://www.adb.org/projects/33459-013/main#project-pds,Transport,,,,,,,,,Urban roads and traffic management,,,Environmentally Sustainable Growth,,,,"Private Sector Development and Private Sector Operations, Governance and Capacity Development, Gender Equity and Mainstreaming",,,No gender elements,,,,,,,,,,,,,,01-01-70 0:00,01-01-70 0:00,andrequintos,,0,202.4.3.26,4809,oabtf
Indonesia: Rural Income Generation Project,"Validates the completion report's assessment of the project, which aimed to sustainably increase the incomes of poor families in selected provinces in Indonesia. IED overall assessment: Less than successful",http://www.adb.org/documents/indonesia-rural-income-generation-project,10-12-12,,Indonesia,,Validation of Project/Program Completion Report,,PVR Partly/less than successful,,,,,PVR184,"1. Data availability (of income and non-income variables at the village and district levels), costs in time and resources, and simplicity of application tend to play a greater role in determining the actual targeting mechanism used; it is therefore important to allocate resources to ensure that a project's targeting mechanism has these elements. [Main text, para. 21]

project cycle stage: Design

Lesson Topics: 
Monitoring & Evaluation: Data collection and management
Methodologies/Approaches: Targeting

2. Bank Rakyat Indonesia (BRI) appreciated the presence of third-party providers of intermediation services to self-help group (given BRI's insufficient experience with non-collateralized loans). This validation notes that such intermediaries need not be government personnel because contractual field liaison officers or nongovernment organizations (with potentially better financial skills than Agency for Agricultural Human Resources Development staff) could also perform such role without posing hidden costs to government. [Main text, para. 22(i)]

project cycle stage: Design, Implementation

Lesson Topics: 
Capacity Development: Ownership
Methodologies/Approaches: Consultation/Participation

3. This validation stresses the importance of inherent incentives in ensuring prompt repayment of non-collateralized loans from the perspectives of the subborrowers in making the payments and the conduit financial institution (the Bank Rakyat Indonesia in this case) in collection. [Main text, para. 22(ii)]

project cycle stage: Design, Implementation

Lesson Topics: 
Finance & Financial Aspects: Financing
Finance & Financial Aspects: Funding
Sector Related Issues: Rural development

4. This validation emphasizes the significance of clarifying upfront how the reflows would be utilized through a sunset provision to give the bank an incentive to maximize repayment and minimize arrears. [Main text, para. 22(iii)]

project cycle stage: Design

Lesson Topics: 
Finance & Financial Aspects: Financing
Finance & Financial Aspects: Funding
Sector Related Issues: Rural development

5. The administrative workload of implementing project activities at the district level across many provinces overwhelmed the executing agencies, resulting in delayed decision making, weak supervision of field personnel, and low sense of ownership among the beneficiaries; project activities ought to have focused on a few provinces at a time. [Main text, para. 22(iv)]

project cycle stage: Implementation

Lesson Topics: 
Project Management: Project supervision
Capacity Development: Ownership
Sector Related Issues: Rural development
Methodologies/Approaches: Targeting

6. The intensive demands of such a project on ADB supervision suggest that project management should be delegated to or shared with the Indonesia Resident Mission. Given the significant requirement for consultant inputs, ADB may facilitate the government's engagement of consulting firms instead of individual consultants. [Main text, para. 22(v)]

project cycle stage: Country Partnership Strategy

Lesson Topics: 
Project Management: Consultants
Project Management: Project management
Project Management: Project supervision
Other: Resident Mission",Indonesia: Rural Income Generation,LN1583,,http://www.adb.org/projects/LN1583/main#project-pds,"Agriculture, Natural Resources, and Rural Development",,,,,,,,,,,,,,,,Gender Equity and Mainstreaming,,,,,,,L1583,,,,,,,,,,01-01-70 0:00,06-04-16 5:54,andrequintos,,0,124.104.195.112,2145,itfgi
Tajikistan: Health Sector Reform Project,"Validates the completion report's assessment of the project, which aimed to improve the management capacity and system efficiency of the health sector in Tajikistan. IED overall assessment: Successful",http://www.adb.org/documents/tajikistan-health-sector-reform-project,10-12-12,,Tajikistan,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,PVR198,"Relative success of the project was facilitated by: (i) Installation of project management at a very high level with the President's office as executing agency and the deputy prime minister as project coordinator. With such high level management support, the adoption of key policy recommendations and implementation of essential reform packages had a much better chance of being acted upon more quickly than if it were anchored on a weak ministry that still needed reform and strengthening.; and (ii) ADB's having frequent review missions at the initial stage, active participation in technical discussions, and prompt action on project requests, were critical factors in ensuring that the project remained responsive to recurrent and emerging needs and that implementation was on track with the project timelines. [Main text, para. 32]

project cycle stage: Design, Implementation

Lesson Topics: 
Monitoring & Evaluation: Monitoring and evaluation
Project Management: Executing/Implementing agencies
Project Management: Project management",Tajikistan: Health Sector Reform,33036-013,,http://www.adb.org/projects/33036-013/main#project-pds,Health,,,,,Health sector development and reform,,,,,,,Inclusive Economic Growth,,,,"Governance and Capacity Development, Gender Equity and Mainstreaming",,,,,,,L2054,,,,,,,,,,01-01-70 0:00,06-04-16 5:54,andrequintos,,0,124.104.195.112,2146,d9o2s
Nepal: Small Towns Water Supply and Sanitation Sector Project,"Validates the completion report's assessment of the project, which aimed to improve water supply and sanitation conditions in the urban centers in Kathmandu Valley in Nepal. IED overall assessment: Successful",http://www.adb.org/documents/nepal-small-towns-water-supply-and-sanitation-sector-project,10-12-12,,Nepal,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,PVR193,"1. The design of similar projects needs to be less complex, geographically contiguous, and realistic in scope given the time frame and available resources. [Main text, para. 21]

project cycle stage: Design

Lesson Topics: 


2. Projects that involve active community participation and strong stakeholder ownership require adequate social preparation time. [Main text, para. 21]

project cycle stage: Design, Implementation

Lesson Topics: 
Capacity Development: Ownership
Capacity Development: Partnerships
Methodologies/Approaches: Community approach
Methodologies/Approaches: Participatory approach

3. A thorough institutional capacity assessment in all areas of project implementation is needed before capacity development support can be effective. [Main text, para. 21]

project cycle stage: Implementation

Lesson Topics: 
Capacity Development: Capacity assessment
Capacity Development: Capacity development",Nepal: Small Towns Water Supply and Sanitation Sector,31402-013,,http://www.adb.org/projects/31402-013/main#project-pds,"Agriculture, Natural Resources, and Rural Development",Rural water supply services,,,,,,,,,,,Inclusive Economic Growth,,,,"Governance and Capacity Development, Gender Equity and Mainstreaming",,,,,,,L1755,,,,,,,,,,01-01-70 0:00,06-04-16 5:54,andrequintos,,0,124.104.195.112,2147,xhe04
Uzbekistan: Urban Water Supply Project,"Validates the completion report's assessment of the project, which aimed to provide safe, adequate, and easily accessible water supply to three urban communities in Uzbekistan. IED overall assessment: Successful",http://www.adb.org/documents/uzbekistan-urban-water-supply-project,10-12-12,,Uzbekistan,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,PVR194,"If the executing agency's limited relevant experience of project design and implementation is known at the outset at the project design stage (i.e., as confirmed in the risk assessment), it is necessary to design appropriate mitigation strategies. These could include the following: (i) design smaller pilot projects to gain experience before larger projects are tackled; or (ii) make significant consultant support available in the early stages of implementation to strengthen capacity and ensure timely implementation. [Main text, para. 32]

project cycle stage: Design

Lesson Topics:",Uzbekistan: Urban Water Supply,33548-013,,http://www.adb.org/projects/33548-013/main#project-pds,Water and Other Urban Infrastructure and Services,,,,,,,,,,Urban water supply,,Inclusive Economic Growth,,,,"Governance and Capacity Development, Gender Equity and Mainstreaming",,,,,,,L1842,,,,,,,,,,01-01-70 0:00,06-04-16 5:54,andrequintos,,0,124.104.195.112,2148,pp5d
Cambodia: Commune Council Development Project,"Validates the completion report's assessment of the project, which aimed to improve services delivered by line departments in Cambodia, to be better attuned to local needs and preferences. IED overall assessment: Successful",http://www.adb.org/documents/cambodia-commune-council-development-project,10-12-12,,Cambodia,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,PVR188,"1. This validation adds the finding of mission reports that hospitals, Buddhist monks, employers, teachers, as well as community-based volunteerism could be tapped to influence more people to register. [Main text, para. 24]

project cycle stage: Implementation

Lesson Topics: 
Country Context: Decentralization
Methodologies/Approaches: Community approach
Methodologies/Approaches: Participatory approach

2. Lesson relates the importance of securing sustained government resource support for the mobile civil registration activities (to finance supplies, transport, food, and water for registration teams) more so than project-financed allowances and incentives that affect the motivations of recipients after project completion and possibly even the enthusiasm of nonrecipients. [Main text, para. 24]

project cycle stage: Implementation, Operation

Lesson Topics: 
Finance & Financial Aspects: Funding
Country Context: Decentralization",Cambodia: Commune Council Development Project,35274-013,,http://www.adb.org/projects/35274-013/main#project-pds,Public Sector Management,,,,,,,,Decentralization,,,,Inclusive Economic Growth,,,,"Governance and Capacity Development, Gender Equity and Mainstreaming",,,,,,,L1953,,,,,,,,,,01-01-70 0:00,06-04-16 5:54,andrequintos,,0,124.104.195.112,2149,nrtu4
Viet Nam: Agriculture Sector Development Program,"Validates the completion report's assessment of the program, which aimed to assist the government in addressing key agriculture constraints related to productivity, profitability, and competitiveness. IED overall assessment: Successful",http://www.adb.org/documents/viet-nam-agriculture-sector-development-program,10-12-12,,Viet Nam,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,PVR190,"Program experience demonstrates that accompanying investment projects in a sector development program loan matter. ADB, in selecting the sector lending modality as a broad-based lending instrument, should give careful consideration to the choice of accompanying projects intrinsically linked with the sector performance in all its dimensions. In this instance, greater benefits could have accrued by linking research and extension to some of the allied institutions such as land tenure, land use, land distribution and classification, marketing, agricultural credit, more extensive extension training, and human resource development than to small and medium enterprises, which in the end focused substantially on nonagricultural activities. [Main text, para. 27]

project cycle stage: Design, Implementation

Lesson Topics: 
Crosscutting Issues/Themes: Harmonization
Modality: Lending modality",Viet Nam: Agriculture Sector Development Program (Policy Reform Loan),32285-013,,http://www.adb.org/projects/32285-013/main#project-pds,"Agriculture, Natural Resources, and Rural Development",,,,,,,,,,,,Inclusive Economic Growth,,,,"Governance and Capacity Development, Gender Equity and Mainstreaming",,,,,,,L1972; L1973,,,,,,,,,,01-01-70 0:00,06-04-16 5:54,andrequintos,,0,124.104.195.112,2150,xm0jy
Viet Nam: Teacher Training Project,"Validates the completion report's assessment of the project, which aimed to provide enough qualified teachers in lower secondary schools in Viet Nam. IED overall assessment: Successful",http://www.adb.org/documents/viet-nam-teacher-training-project,10-12-12,,Viet Nam,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,PVR178,"Synergies between lower secondary education (LSE) curriculum development and LSE teacher training projects are important, as the new teacher training curriculum should be consistent with the LSE curriculum. [Main text, para. 30]

project cycle stage: Design

Lesson Topics: 
Capacity Development: Capacity development
Sector Related Issues: Education",Viet Nam: Teacher Training,31039-013,,http://www.adb.org/projects/31039-013/main#project-pds,Education,,Pre-primary and primary,,,,,,,,,,,,,,Gender Equity and Mainstreaming,,,,,,,L1718,,,,,,,,,,01-01-70 0:00,06-04-16 5:54,andrequintos,andrequintos,0,124.104.195.112,2151,es102
Kazakhstan: Countercylical Support Loan,"Validates the completion report's assessment of the program, which aimed to support the government in its countercyclical expenditure program for 2009 and enable adopting an expansionary fiscal stance. IED overall assessment: Successful",http://www.adb.org/documents/kazakhstan-countercylical-support-loan,10-12-12,,Kazakhstan,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,PVR201,"There is a need to ensure a better coordination between the sovereign and nonsovereign operations in ADB so that the two sets of operations can operate in the country in a seamless manner. This is especially important in view of the enhanced role of nonsovereign operations under Strategy 2020 in a high middle income country such as Kazakhstan. [Main text, para. 29]

project cycle stage: Implementation, Country Partnership Strategy

Lesson Topics: 
Crosscutting Issues/Themes: Harmonization
Project Management: Project management",Kazakhstan: Kazakhstan Countercyclical Support Loan,43330-013,,http://www.adb.org/projects/43330-013/main#project-pds,Public Sector Management,,,,,,,,"Economic affairs management, Public expenditure and fiscal management, Social protection initiatives",,,,Inclusive Economic Growth,,,,"Governance and Capacity Development, Gender Equity and Mainstreaming, Knowledge Solutions",,,,,,,L2543,,,,,,,,,,01-01-70 0:00,06-04-16 5:54,andrequintos,,0,124.104.195.112,2152,hykf6
Nepal: Corporate and Financial Governance Project,"Validates the completion report's assessment of the project, which aimed to aims to improve transparency, accountability, and basic finance sector infrastructure in Nepal. IED overall assessment: Unsuccessful",http://www.adb.org/documents/nepal-corporate-and-financial-governance-project,10-12-12,,Nepal,,Validation of Project/Program Completion Report,,PVR Unsuccessful,,,,,PVR195,"Pertaining to the appropriate balance between the hardware and software aspects of a development project, poor countries are rightly skeptical of borrowing only for consulting services because in the absence of the requisite infrastructure they fail to internalize outputs and derive gains from the institutional reforms in full. This affects the extent to which government ownership materializes through the course of implementation. The report and recommendation of the President summarized the lessons identified from prior financial sector reform projects on government ownership in terms of the reform agenda. [Main text, para. 33]

project cycle stage: Implementation

Lesson Topics: 
Capacity Development: Ownership
Policy & Reform: Policy reforms/framework
Policy & Reform: Reform",Nepal: Corporate and Financial Governance (Project Loan),28332-013,,http://www.adb.org/projects/28332-013/main#project-pds,Finance,,,,Finance sector development,,,,,,,,Inclusive Economic Growth,,,,Gender Equity and Mainstreaming,,,,,,,L1811,,,,,,,,,,01-01-70 0:00,06-04-16 5:54,andrequintos,,0,124.104.195.112,2153,gkkok
Federated States of Micronesia: Private Sector Development Program,,http://www.adb.org/documents/federated-states-micronesia-private-sector-development-program,10-12-12,,Micronesia,,Validation of Project/Program Completion Report,,PVR Partly/less than successful,,,,,,"Two major lessons were identified in the project completion report (PCR): (i) the need for stronger program preparation, and (ii) the need for the design to be more appropriate for local circumstances. In regard to the former, the PCR pointed out four areas where loan preparation could have been stronger, which would have enhanced program implementation and possibly reduced the delays in achieving loan effectiveness. These were the need for (i) broad consultation, awareness raising, and development of skills of key state stakeholders; (ii) assessment of individual capacities, particularly in the executive and legislative branches of government, before an accurate judgment is made of the time needed to prepare for loan effectiveness and then implement reforms; (iii) formal discussions with legislators to improve their understanding of the constraints facing the sector, thereby facilitating earlier passing of key legislation for maintaining the impetus for change in the enabling environment for private sector development (PSD); and (iv) early stakeholder and beneficiary involvement in the program preparatory process to ensure program quality and ownership that could have minimized delays (e.g., designing and approval procedures for civil works and project implementation unit/PIU staffing). This validation supports the lessons.","Micronesia, Federated States of: Private Sector Development Program",33314-013,,http://www.adb.org/projects/33314-013/main#project-pds,Public Sector Management,,,,,,,,Economic affairs management,,,,Inclusive Economic Growth,,,,Private Sector Development and Private Sector Operations,,,,,,,,,,,,,,,,,01-01-70 0:00,01-01-70 0:00,andrequintos,,0,202.4.3.26,4610,22u3n
Cambodia: Provincial Towns Improvement Project,,http://www.adb.org/documents/cambodia-provincial-towns-improvement-project,10-12-12,,Cambodia,,Validation of Project/Program Completion Report,,PVR Partly/less than successful,,,,,,"The lessons set out in the project completion report (PCR) were detailed and based on the discussion in the text, this validation supports them. However, these are lessons that have been identified many times in the past and should have been considered at the project formulation stage. In summary, the five lessons are as follows: (i) the importance of having qualified consultants and sufficient stakeholder consultations in project design, (ii) the importance of government ownership to studies produced by the project for recommendations to be implemented, (iii) the strategy for cost recovery of wastewater services should be reformulated together with the implementation of a comprehensive connection program, (iv) need to review contractor bids carefully, and (v) timely payments should be made to contractors and consultants.",Cambodia: Provincial Towns Improvement Project,29282-013,,http://www.adb.org/projects/29282-013/main#project-pds,,,,,,,,,,,,,Inclusive Economic Growth,,,,,,,,,,,,,,,,,,,,,01-01-70 0:00,01-01-70 0:00,andrequintos,,0,202.4.3.26,4604,8ywbv
Cambodia: Stung Chinit Irrigation and Rural Infrastructure Project,,http://www.adb.org/documents/cambodia-stung-chinit-irrigation-and-rural-infrastructure-project,10-12-12,,Cambodia,,Validation of Project/Program Completion Report,,PVR Partly/less than successful,,,,,,"The choice of an investment project in a specific geographic area was appropriate given the scheme's national importance in a post-conflict environment. However, the underlying technical basis of the original project design was inadequate. Insufficient diagnosis was made in understanding the social issues surrounding farming operations, livelihood interests, and farmer spatial organization. The project completion report (PCR) pointed out that a more intensive design phase should have been required before loan approval and ADB management should have insisted on it, and/or project implementation should have been designed to be more flexible. In essence, the project highlighted the need for a robust technical and economic design that takes into account the social context of beneficiaries. This validation has no disagreement with the lessons drawn by the PCR.",Cambodia: Stung Chinit Irrigation and Rural Infrastructure Project,29257-013,,http://www.adb.org/projects/29257-013/main#project-pds,"Agriculture, Natural Resources, and Rural Development, Transport","Agricultural production, Irrigation",,,,,,,,Road transport (non-urban),,,Environmentally Sustainable Growth,,,,"Governance and Capacity Development, Gender Equity and Mainstreaming, Knowledge Solutions",,,Effective gender mainstreaming,,,,,,,,,,,,,,01-01-70 0:00,01-01-70 0:00,andrequintos,,0,202.4.3.26,4607,awjg0
Indonesia: Marine and Coastal Resources Management Project,,http://www.adb.org/documents/indonesia-marine-and-coastal-resources-management-project,10-12-12,,Indonesia,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,,"The Independent Evaluation Department agrees with the lessons presented by the project completion report (PCR). In particular, the link between the bottom-up and top-down approach with stakeholders' participation is important in successful policy formulation and in providing a strong foundation for law enforcement. The efforts to formulate measurable targets during project administration helped in directing the project toward achieving its intended targets and objectives. To be well managed and properly maintained, assets used in the project need to be handed over to the implementing agencies that use them.",Indonesia: Marine and Coastal Resources Management Project,31153-013,,http://www.adb.org/projects/31153-013/main#project-pds,"Agriculture, Natural Resources, and Rural Development, Information and Communication Technology, Water and Other Urban Infrastructure and Services",Water-based natural resources management,,,,,,,"Public expenditure and fiscal management, Social protection initiatives","Road transport (non-urban), Urban roads and traffic management",,,"Inclusive Economic Growth, Environmentally Sustainable Growth",,,,"Governance and Capacity Development, Gender Equity and Mainstreaming",,,No gender elements,,,,,,,,,,,,,,01-01-70 0:00,01-01-70 0:00,andrequintos,,0,202.4.3.26,4657,o8qvd
Indonesia: State Audit Reform Sector Development Program,,http://www.adb.org/documents/indonesia-state-audit-reform-sector-development-program,10-12-12,,Indonesia,,Validation of Project/Program Completion Report,,PVR Partly/less than successful,,,,,,"The lessons presented by the project completion report (PCR) are valuable to ADB operations. Reform measures that involve reorganizing and downsizing a large and well-entrenched organization such as the Financial Supervisory and Development Board (Badan Pengawasan Keuangan dan Pembangunan or BPKP) are generally difficult to implement. There were complex issues that involved changes in seniority, salaries, staff positions, and political ramifications that should have been thoroughly assessed. BPKP resistance should have been anticipated since the reform entailed significant downsizing.

Implementing a program that requires reforms at the level of a national agency, inter- agency coordination and cooperation needs the highest political support. The PCR pointed out that the conditions for release of the first tranche should have included a reorganization plan for BPKP. This would have demonstrated the government's commitment to reorganize BPKP. Subsequently, the second tranche should have been conditional on the government beginning to implement the reorganization. This would have given ADB more leverage to move the program toward reorganizing BPKP.

At the program level, ADB should continue dialogue with the government in pursuing the reform and ensuring that BPKP strictly adhere to its new scope of work and tasks identified in the new regulation (no. 60/2008). There is also a need to continue the work on establishing an internal certification system.",Indonesia: Support for State Audit Reforms,35144-013,"The goal of the proposed State Audit Reform (STAR) Program is to enhance governance, and the efficiency, economy and effectiveness of public sector audit through strengthened audit institutions operating to internationally accepted standards. The objectives are: an improved policy and legal framework for state audit institutions; a strengthened and efficiently aligned operating framework for external and internal audit; enhanced accountability and oversight of the audit function at all levels of government; and increased public awareness of the benefits of audit and what it can deliver.The program loan of the STARSDP will facilitate the implementation of critical reform measures affecting the entire audit sector, while the project loan will support key investments aimed at enhancing capacity building and strengthening sector management practices.",http://www.adb.org/projects/35144-013/main#project-pds,Public Sector Management,,,,,,,,Public expenditure and fiscal management,,,,Inclusive Economic Growth,,,,"Governance and Capacity Development, Gender Equity and Mainstreaming",,,No gender elements,,,,,,,,,,,,,,01-01-70 0:00,01-01-70 0:00,andrequintos,,0,202.4.3.26,4671,j2772
Mongolia: Cadastral Survey and Land Registration Project,,http://www.adb.org/documents/mongolia-cadastral-survey-and-land-registration-project,10-12-12,,Mongolia,,Validation of Project/Program Completion Report,,PVR Partly/less than successful,,,,,,"Lessons drawn from the project are valuable to ADB operations especially in countries such as Mongolia where population is small and technical capacity is limited. Greater emphasis should be given to building technical and management capacity of concerned agencies and end-user institutions. Additional technical assistance should have mitigated the problems associated with the technical complexities of the NLIS and might have avoided the system drifting away from its original design. More technical support should have been provided in design formulation of the national land information system (NLIS). This validation agrees with the project completion report (PCR) that a more incremental approach to system development should have been more appropriate, with complexity added as external infrastructure improved (such as power and connectivity).",Mongolia: Cadastral Survey and Land Registration,30531-013,,http://www.adb.org/projects/30531-013/main#project-pds,"Agriculture, Natural Resources, and Rural Development",Land-based natural resources management,,,,,,,,,,,Inclusive Economic Growth,,,,"Governance and Capacity Development, Knowledge Solutions",,,,,,,,,,,,,,,,,01-01-70 0:00,01-01-70 0:00,andrequintos,,0,202.4.3.26,4710,nro36
Mongolia: Social Security Sector Development Program,,http://www.adb.org/documents/mongolia-social-security-sector-development-program,10-12-12,,Mongolia,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,,"The main lesson identified was that social welfare reform is politically sensitive. Therefore, at the very early stage of preparing the program framework, the borrower's commitment to the key theme of the program needs to be carefully assessed. In addition, that commitment should be made a condition for program effectiveness and release of the first loan tranche. Postponing the meeting of that condition to a later date or to the release of a later loan tranche might make it difficult to ensure that the government will adhere to its commitment during program implementation and on a sustained basis thereafter, as it happened in this program loan. The other key lesson was the need to set up an appropriate monitoring and evaluation (M&E) system at the time of preparing the program framework to facilitate collection and analysis of information necessary to evaluate the impact of the project. The project completion report (PCR) pointed out other lessons as well. This validation supports all of them.",,33335-023,,http://www.adb.org/projects/33335-023/main#project-pds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M&amp;E, monitoring and evaluation",,01-01-70 0:00,01-01-70 0:00,andrequintos,,0,202.4.3.26,4717,strsy
Papua New Guinea: Provincial Towns Water Supply and Sanitation Project,,http://www.adb.org/documents/papua-new-guinea-provincial-towns-water-supply-and-sanitation-project,10-12-12,,Papua New Guinea,,Validation of Project/Program Completion Report,,PVR Partly/less than successful,,,,,,"The project completion report (PCR) identified the following good lessons from the project, which this validation supports:

(i) Improving project design and ensuring adequate technical understanding of the factors affecting the project, such as water source availability and cost estimation, are essential.

(ii) Targeting of sites in priority areas must be improved so as not to dissipate design efforts and resources.

(iii) Beneficiary demand and willingness to pay must be ensured.

(iv) Targeting poor families with low-cost technology using grant funds makes good
sense.

(v) Low-cost technology has significant potential for improving public health.

This validation strongly suggests that these lessons be used to guide ADB staff in subsequent project conceptualization and development efforts to avert mistakes experienced in many rural water supply projects. Due diligence should be exercised not only in terms of technical factors but institutional, social, financial, and even political factors. While most if not all projects have excellent and even noble intentions and objectives and are extremely relevant to existing problems in the countries they are proposed for, these projects have to be realistic and must be designed considering the inherent problems and issues pertaining to the sector, country, or areas where they will be implemented. Due prudence must be exercised in expecting institutions to perform beyond what they are capable of and have proven capable of. Projects that require continuing operation and maintenance must have a stable cost recovery mechanism to ensure sustainability. There are two elements to this: beneficiaries' willingness and ability to pay, and the institutions' capability to impose and collect tariff.",Papua New Guinea: Provincial Towns Water Supply and Sanitation,31467-013,,http://www.adb.org/projects/31467-013/main#project-pds,Water and Other Urban Infrastructure and Services,,,,,,,,,,"Urban sewerage, Urban water supply",,Inclusive Economic Growth,,,,"Governance and Capacity Development, Gender Equity and Mainstreaming, Knowledge Solutions",,,Effective gender mainstreaming,,,,,,,,,,,,,,01-01-70 0:00,01-01-70 0:00,andrequintos,,0,202.4.3.26,4774,rgpix
People's Republic of China: Efficient Utilization of Agricultural Wastes Project,,http://www.adb.org/documents/people-s-republic-china-efficient-utilization-agricultural-wastes-project,10-12-12,,China,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,,"The project completion report (PCR) drew out valuable lessons to ADB operations. Strong government ownership and commitment to a project's success and sustainability is important. The project's training programs were effective. These taught farmers to use new technology, knowledge, and ideas to improve their income and living conditions. Training was flexible in allowing family members, who are often the final users of the biogas, to take part. This ensured that type I and type II systems would remain operational after project completion. This validation agrees with the PCR that proper due diligence on new technology such as the type IV gasification plant should have been undertaken at appraisal to determine the risks and sustainability of the technology.","China, People's Republic of: Efficient Utilization of Agricultural Wastes Project",33443-013,,http://www.adb.org/projects/33443-013/main#project-pds,Energy,,,Renewable energy generation - biomass and waste,,,,,,,,,Inclusive Economic Growth,,,,"Private Sector Development and Private Sector Operations, Governance and Capacity Development, Gender Equity and Mainstreaming, Knowledge Solutions",,,Some gender elements,,,,,,,,,,,,,,01-01-70 0:00,01-01-70 0:00,andrequintos,,0,202.4.3.26,4784,wbvlt
Philippines: Agrarian Reform Communities Project,,http://www.adb.org/documents/philippines-agrarian-reform-communities-project,10-12-12,,Philippines,,Validation of Project/Program Completion Report,,PVR Successful/Generally successful,,,,,,This validation agrees with the following lessons identified by the project completion report (PCR): (i) the use of a clear and sound design and monitoring framework (DMF) to direct project implementation and coordination; (ii) promoting stakeholder participation and ownership in the project for greater probability of success; (iii) flexibility in specific investments to achieve intended outputs; (iv) importance of detailed feasibility studies of enterprises and agribusinesses to assure viability; (v) use of external sources of local government units (LGUs) other than their regular allocations for equity on the subprojects; and (vi) unsuitability of agrarian reform community (ARC) cooperatives in target areas for Land Bank of the Philippines (LBP) lending due to pre-existing past due accounts or inability to meet LBP's cooperative accreditation criteria.,Philippines: Agrarian Reform Communities,30540-013,,http://www.adb.org/projects/30540-013/main#project-pds,"Agriculture, Natural Resources, and Rural Development",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-01-70 0:00,01-01-70 0:00,andrequintos,,0,202.4.3.26,4811,3j9dv
