REPORT NAME,COUNTRY,SECTORS,DATE,LESSONS,REPORT TYPE,REPORT RATING,LINK
Mongolia: Integrated Development of Basic Urban Services in Provincial Towns Project,Mongolia,"Energy, Water and Other Urban Infrastructure and Services",31-12-11,"1. A thorough analysis of beneficiary preference, demand, and willingness to pay needs to be conducted to ensure that preconceived notions on demand are verified, validated, and confirmed on the ground by the beneficiaries. Very often proponents from the central government have a different concept of needs and priorities from agencies at the field or local level. Local involvement in project conceptualization ensures greater success, as there would be better ownership of its components and a more accurate identification of the needs of intended beneficiaries. Additional gains will be made through greater commitment for sustained operation and maintenance and more accurate assessment of willingness to borrow. [Main text, para. 22]

project cycle stage: Design, Feasibility

Lesson Topics: 
Project Design: Project design
Methodologies/Approaches: Consultation/Participation",Validation of Project/Program Completion Report,Partly/less than successful,http://www.adb.org/documents/mongolia-integrated-development-basic-urban-services-provincial-towns-project
Mongolia: Rural Finance Project [Loan 1848-MON],Mongolia,Finance,31-12-10,"1. There is a need to lay down a firm legal, regulatory, and supervisory foundation prior to embarking on promotion of financing institutions, such as savings and credit cooperatives (SCCs). In this case, ADB attempted to establish the regulatory structure in parallel to project implementation, which did not work well. The two activities should have been better prepared, and sequenced as separate projects. The regulatory structure should have been supported by a comprehensive technical assistance with adequate resources to prepare and promote the legal, regulatory, and supervisory framework, to have it passed by the legislature, and to ensure adequate institutional capacity to execute that framework. With the regulatory structure in place, the implementation should have proceeded with components for training, promotion, and institution development of SCCs. That approach would have had better prospects for success in establishing a sustainable rural finance system. [Main text, page 6, section E(ii.a)]

project cycle stage: Design, Implementation

Lesson Topics: 
Modality: Technical Assistance
Policy & Reform: Policy reforms/framework
Policy & Reform: Reform

2. There is a need to enhance the capacity of ADB staff to quickly assess changing project circumstances and adjust project parameters to ensure greater use of ADB loan funds and better attainment of project objectives. [Main text, page 6, section E(ii.b)]

project cycle stage: Implementation, Country Partnership Strategy

Lesson Topics: 
Project Management: Project management
Capacity Development: Capacity building",Validation of Project/Program Completion Report,Unsuccessful,http://www.adb.org/documents/mongolia-rural-finance-project-loan-1848-mon
Nepal: Corporate and Financial Governance Project,Nepal,Finance,10-12-12,"Pertaining to the appropriate balance between the hardware and software aspects of a development project, poor countries are rightly skeptical of borrowing only for consulting services because in the absence of the requisite infrastructure they fail to internalize outputs and derive gains from the institutional reforms in full. This affects the extent to which government ownership materializes through the course of implementation. The report and recommendation of the President summarized the lessons identified from prior financial sector reform projects on government ownership in terms of the reform agenda. [Main text, para. 33]

project cycle stage: Implementation

Lesson Topics: 
Capacity Development: Ownership
Policy & Reform: Policy reforms/framework
Policy & Reform: Reform",Validation of Project/Program Completion Report,Unsuccessful,http://www.adb.org/documents/nepal-corporate-and-financial-governance-project
Nepal: Small Towns Water Supply and Sanitation Sector Project,Nepal,"Agriculture, Natural Resources, and Rural Development",10-12-12,"1. The design of similar projects needs to be less complex, geographically contiguous, and realistic in scope given the time frame and available resources. [Main text, para. 21]

project cycle stage: Design

Lesson Topics: 


2. Projects that involve active community participation and strong stakeholder ownership require adequate social preparation time. [Main text, para. 21]

project cycle stage: Design, Implementation

Lesson Topics: 
Capacity Development: Ownership
Capacity Development: Partnerships
Methodologies/Approaches: Community approach
Methodologies/Approaches: Participatory approach

3. A thorough institutional capacity assessment in all areas of project implementation is needed before capacity development support can be effective. [Main text, para. 21]

project cycle stage: Implementation

Lesson Topics: 
Capacity Development: Capacity assessment
Capacity Development: Capacity development",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/nepal-small-towns-water-supply-and-sanitation-sector-project
Nepal: Governance Reform Program,Nepal,Public Sector Management,30-04-10,"1. An ambitious, complex program or project should not be launched without being fully equipped with adequate technical assistance and other requisite resources, particularly when the design does not provide the option of accessing funds under the loan. [Main text, page 6, section E(ii.a)]

<!-- project cycle stage: Design

Lesson Topics: 
Modality: Program
Modality: Project
Modality: Technical Assistance -->

2. ADB must recognize that on-the-ground conditions in the borrower country may change substantially while a program or project is under preparation, especially if the preparatory process is long and the nature of unrest borders on social conflict and violence. [Main text, page 6, section E(ii.b)]

<!-- project cycle stage: Design

Lesson Topics: 
Modality: Program
Modality: Project
Project Design: Project design
Country Context: Conflict/Post-conflict -->

3. If a program or project appears to be ambitious and complex and runs against changing on-the-ground conditions, there should be flexibility in implementation plan to reduce the scope and focus on the essential core of the program or project. The policy matrix should clearly identify such core issues beforehand. [Main text, page 6, section E(ii.c)]

<!-- project cycle stage: Design, Implementation

Lesson Topics: 
Modality: Program
Modality: Project
Project Design: Project design
Country Context: Conflict/Post-conflict -->",Validation of Project/Program Completion Report,Partly/less than successful,http://www.adb.org/documents/nepal-governance-reform-program
Sindh Growth and Rural Revitalization Program: Validation of Completion Report,Pakistan,"Agriculture, Natural Resources, and Rural Development, Finance, Health, Public Sector Management, Transport",30-01-15,"The lessons identified by the PCR (program completion report) are suitable. The implementation of the program highlighted the appropriateness of the cluster program modality for sustaining reform momentum. Greater effort is needed in assessing the political and economic context to determine the chances of success of reform efforts. The program design was complex with 25 policy conditions for subprogram 1 and 38 policy conditions for subprogram 2, involving a large number of implementing agencies and reform areas. There are benefits in keeping program simple by limiting the number of reform actions, agencies involved, and the number of subprograms under a cluster. This validation shares the view of the PCR that the decision to cancel the processing of subprogram 3 could have been accompanied with efforts to identify reform areas that were making progress and to support these with TA (technical assistance) or with resources on existing or new projects.
project cycle stage: Concept, Design, Implementation",Validation of Project/Program Completion Report,Partly/less than successful,http://www.adb.org/documents/pakistan-sindh-growth-and-rural-revitalization-program
Pakistan: North-West Frontier Province Urban Development Sector Project,Pakistan,"Agriculture, Natural Resources, and Rural Development, Finance, Transport, Water and Other Urban Infrastructure and Services",27-09-13,"1. The project design did not have an adequate analytic base that should have included an assessment of stakeholders and their capacities, and provisions for alignment due to changes introduced by the LGO 2001.

project cycle stage: Design, Feasibility

Lesson Topics: 
Project Design: Project design
Sector Related Issues: Urban sector/development
Sector Related Issues: Water resource management

2. Previous project and/or sector experience in Pakistan was not internalized and reflected in the design�the risk of underestimating capacity constraints could have been mitigated with a risk management strategy.

project cycle stage: Design

Lesson Topics: 
Project Design: Project design
Project Management: Risks/Risk management
Capacity Development: Capacity assessment

3. Supervision missions must flag projects that are in danger of slippage before it is too late to modify the project.

project cycle stage: Implementation

Lesson Topics: 


4. Project monitoring and evaluation systems require sets of measurable indicators and associated targets so that corrective measures can be implemented in time to achieve the project's outcome. 

project cycle stage: Implementation

Lesson Topics: 
Monitoring & Evaluation: Indicators
Monitoring & Evaluation: Monitoring and evaluation",Validation of Project/Program Completion Report,Unsuccessful,http://www.adb.org/documents/pakistan-north-west-frontier-province-urban-development-sector-project
Pakistan: Chashma Right Bank Irrigation Project (Stage III),Pakistan,"Agriculture, Natural Resources, and Rural Development",27-12-12,"This validation notes the inefficient and ineffective compensation process for land resumed. It is essential that adequate compensation mechanisms are built into the project design and implemented. If this had been undertaken, it might have preempted the need for a protracted and expensive system for redressing grievances. Rapid compensation is highly desirable. If compensation is delayed, land values may increase and resettlers may no longer consider defined compensation rates to be adequate. [Main text, para. 24]

project cycle stage: Design, Implementation

Lesson Topics: 
Crosscutting Issues/Themes: Resettlement
Project Design: Project design",Validation of Project/Program Completion Report,Partly/less than successful,http://www.adb.org/documents/pakistan-chashma-right-bank-irrigation-project-stage-iii
Pakistan: Punjab Resource Management Program,Pakistan,Public Sector Management,01-12-11,"1. As programs need to be driven by the borrowers, capacities of executing and implementing agencies in program implementation must be carefully assessed at appraisal so that capacity disparities can be mitigated. For example, the Punjab Resource Management Program in Pakistan could have averted problems brought about by capacity gaps had it identified the risks early on and instituted mitigating measures, such as, the recruitment of program management consultants to assist the Project Management Unit, the Planning and Development Department, and the Finance Department. The limited institutional capacity of the executing and implementing agencies ultimately reduced the relevance of the Program. [Main text, paras. 14, 25-26, 30]

project cycle stage: Design, Implementation

Lesson Topics: 
Project Management: Executing/Implementing agencies
Capacity Development: Capacity assessment",Validation of Project/Program Completion Report,Partly/less than successful,http://www.adb.org/documents/pakistan-punjab-resource-management-program
Pakistan: Reproductive Health Project [Loan 1900(SF)-PAK],Pakistan,Health,31-12-10,"Implementing projects in countries with similar circumstances as in Pakistan highlights: (a) the need for start-up technical assistance to set the stage for effective project implementation as part of the loan covenant, establish the project coordination units and/or project implementation units, and ensure that a realistic implementation arrangement is put in place, even if it means revising the project implementation design, drafting a management operation manual, assisting in the opening of imprest accounts, training project staff on ADB procurement and disbursement procedures and reporting requirements, and initiating the preparation of procurement and disbursement documents; (b) the need for more frequent review missions, probably with an appropriate consultant/advisor on board, in the early years of implementation and for as long as project implementation is deemed off track; and (c) the need to take immediate action to scale down project costs, and/or cancel part of the corresponding loan, when it becomes apparent that the government is unable or unwilling to put up the necessary counterpart funds. While it is important to correctly and objectively assess implementation constraints and implementation capacity, countries with serious development needs and weak institutional capacity should be assisted with building up this capacity as part of project design. This refers to short-term project implementation capacity as well as to longer-term program administration capacity. The project starting date should be set after start-up TA has been successfully completed, and countries with weak institutional capacity should be given time to comply with the covenants and requirements for loan effectiveness through a mentoring process that the start-up TA should provide. [Main text, page 8, section E(ii)]

project cycle stage: Design

Lesson Topics: 
Finance & Financial Aspects: Counterpart funds
Modality: Technical Assistance
Project Design: Project design
Project Management: Procurement
Project Management: Project management
Capacity Development: Capacity development",Validation of Project/Program Completion Report,Unsuccessful,http://www.adb.org/documents/pakistan-reproductive-health-project-loan-1900sf-pak
Pakistan: Rural Finance Sector Development Program [Loans 1987-PAK and 1988-PAK],Pakistan,Finance,30-11-10,"ADB experience in other countries shows that sector development programs can be used to facilitate financial sector development through the complementary and mutually reinforcing use of program, technical assistance and investment loan modalities. However, sustained political commitment is a key prerequisite for success. Lesson (iv) would appear to apply to financial intermediation loans, which were not used in the Rural Finance Sector Development Program (RFSDP). This validation finds that the RFSDP experience underpins the need for realistic assessments of governments' continued compliance with tranche conditions. The RFSDP experience also illustrates inherent incentive problems associated with the restructuring and commercialization of state banks. [Main text, pages 7-8, section E(ii)]

project cycle stage: Implementation, Country Partnership Strategy

Lesson Topics: 
Loan Agreement: Covenants
Loan Agreement: Loan Agreement
Modality: Lending modality
Modality: Program
Modality: Technical Assistance
Methodologies/Approaches: Sectoral approach",Validation of Project/Program Completion Report,Unsuccessful,http://www.adb.org/documents/pakistan-rural-finance-sector-development-program-loans-1987-pak-and-1988-pak
Pakistan: Decentralized Elementary Education Project (Sindh),Pakistan,Education,30-09-10,"1. Overly complex and ambitious projects are difficult to implement especially when the executing agency is not familiar with the procedures and institutional practices of ADB. [Main text, page 5, section E(ii)]

project cycle stage: Design, Implementation

Lesson Topics: 
Project Design: Project design
Project Management: Executing/Implementing agencies

2. Even a minor or routine problem�e.g., the currency of the second-generation imprest accounts in the districts�can prove fatal and bring down the entire project if left unresolved over a long time. [Main text, page 5, section E(ii)]

project cycle stage: Implementation

Lesson Topics: 
Project Management: Project management
Project Management: Risks/Risk management

3. The persistence of a minor or routine problem could mask serious underlying issues that the project design left unidentified or unresolved, e.g., ownership of the project objectives or governance issues. [Main text, page 5, section E(ii)]

project cycle stage: Design, Implementation

Lesson Topics: 
Project Design: Project design
Project Management: Project management",Validation of Project/Program Completion Report,Unsuccessful,http://www.adb.org/documents/pakistan-decentralized-elementary-education-project-sindh
Pakistan: Sindh Devolved Social Services Project [Loan 2049-PAK],Pakistan,Multisector,30-09-10,"This validation adds the need for steps to be taken at an early stage to keep the technical assistance (TA) on track, and ensure that it is being managed according to the objectives of the loan program that it is supporting. The Independent Evaluation Department's 2005 Sector Assistance Program Evaluation for Social Sectors in Pakistan infact had anticipated these based on the issues that it identified from the then implementation of Sindh Devolved Social Services Program. It noted that �while the program was well underway, the supporting TA loan for local government capacity building had still not become effective, thereby delinking funding and capacity building.� It further highlighted the role of provincial line departments to dominate TA support and absence of monitoring systems to report progress. [Main text, page 6, section E(ii)]

project cycle stage: Implementation

Lesson Topics: 
Modality: Technical Assistance
Project Management: Project management",Validation of Project/Program Completion Report,Partly/less than successful,http://www.adb.org/documents/pakistan-sindh-devolved-social-services-project-loan-2049-pak
Pakistan: Agriculture Sector Program II,Pakistan,"Agriculture, Natural Resources, and Rural Development",31-08-10,,Validation of Project/Program Completion Report,Unsuccessful,http://www.adb.org/documents/pakistan-agriculture-sector-program-ii
Pakistan: Multisector Rehabilitation and Improvement Project for Azad Jammu and Kashmir,Pakistan,"Education, Energy, Health, Transport, Water and Other Urban Infrastructure and Services",31-08-10,"1. Where institutional weakness is evident, means of assuring adequate support could include capacity building technical assistance, over which ADB has more control than it does when using loan implementation consultants. [Main text, page 7, section E(ii)]

project cycle stage: Country Partnership Strategy

Lesson Topics: 
Modality: Technical Assistance
Capacity Development: Capacity building
Capacity Development: Capacity development

2. Paying salaries for government staff in project management or implementation units can cause problems of overstaffing or inappropriate appointments. A salary supplement may often be a better option, where essential, but with strict limits on eligibility to avoid the same problems. [Main text, page 7, section E(ii)]

project cycle stage: Design, Implementation

Lesson Topics: 
Project Management: Executing/Implementing agencies
Project Management: Project management

3. Rebuilding or rehabilitating public infrastructure in earthquake-prone areas should include earthquake resistance as a key parameter. This did not happen in the project (as far as can be ascertained) and poses a risk for the future. It is noted that many schools in the earthquake-affected area collapsed with major loss of life. [Main text, page 7, section E(ii)]

project cycle stage: Design, Country Partnership Strategy

Lesson Topics: 
Project Management: Risks/Risk management
Country Context: Emergency

4. Most importantly, project experience would suggest that, when substantial parts of a project area are struck by a major natural disaster such as the 2005 earthquake, ADB should make a major effort to help the government redesign the project. While the project underwent two changes in scope, these related to increases in unit costs and, to a large extent, withdrawal from earthquake-affected districts. In such situations, ADB may in the future consider redesign to align the project with the needs for disaster recovery, rehabilitation, and reconstruction, meshed with assistance from other development partners. In the project, it may have been possible to effectively reorient the project to focus on reconstructing hospitals and schools in the affected districts or other aspects as decided by the government. [Main text, page 8, section E(ii)]

project cycle stage: Design, Country Partnership Strategy

Lesson Topics: 
Project Design: Project design
Project Management: Risks/Risk management
Country Context: Emergency",Validation of Project/Program Completion Report,Partly/less than successful,http://www.adb.org/documents/pakistan-multisector-rehabilitation-and-improvement-project-azad-jammu-and-kashmir
Pakistan: Supporting Public Resource Management Reforms in Balochistan,Pakistan,Public Sector Management,31-08-10,"The design of the Balochistan Resource Management Program, supported by the technical assistance loan, was meant to promote the use of available fiscal resources for delivering services to the poor. This can happen only if the system that links the financial sector and the delivery of services to the poor exists on the ground, and is functioning properly. The situation in Balochistan clearly did not fulfill these conditions. During Board consideration of the loan, a number of members had raised this issue and cautioned the staff, saying that implementation was going to be key. [Main text, page 5, section E(ii)]

project cycle stage: Design, Implementation

Lesson Topics:",Validation of Project/Program Completion Report,Unsuccessful,http://www.adb.org/documents/pakistan-supporting-public-resource-management-reforms-balochistan
Road Maintenance and Upgrading (Sector) Project: Validation of Completion Report,Papua New Guinea,Transport,30-01-15,"The PCR (project completion report) identified a few important lessons. One lesson was the need for frequent reviews and close supervision and monitoring of procurement processes. Another lesson pointed out that counterpart funding allocation into project accounts should be made a condition of ADB disbursement. The next lesson cited the need to ensure that subproject preparation should, at least, reach 90% completion at the time of project preparatory technical assistance and 100% before loan effectiveness. The last suggested a rigorous assessment of the executing agency's capacity to undertake technical, financial, economic, safeguards, and governance evaluation of subprojects, which should be done during project formulation. This validation finds these lessons appropriate and has no additional lesson to offer.
project cycle stage: Design, Implementation",Validation of Project/Program Completion Report,Partly/less than successful,http://www.adb.org/documents/papua-new-guinea-road-maintenance-and-upgrading-sector-project
Papua New Guinea: Financial Management Project,Papua New Guinea,,31-10-11,"1. The risks associated with a change in scope (in this case the inadequate capacity of the executing/implementing institution) needs to be fully considered to prevent project failure. For example, experience with the Financial Management Project in Papua New Guinea (PNG) pointed to the importance of ensuring that institutional capacity exists carrying out changes, i.e., technical aspects of the project design. The decision to combine components 1 and 2 during its third year of implementation, and to fund the development of an integrated software package that could cover all activities under these two components introduced a huge risk to the project. The use of an integrated system for public sector financial management was rare even in developed countries, and required technical sophistication in the development and operations phase that was nonexistent in PNG. This change in design led to implementation delays, and adversely affected project outputs and outcomes. It also reduced the relevance of the project. [Main text, paras. 10, 20]

project cycle stage: Design, Implementation

Lesson Topics: 
Project Design: Project design
Project Management: Risks/Risk management
Capacity Development: Capacity development",Validation of Project/Program Completion Report,Unsuccessful,http://www.adb.org/documents/papua-new-guinea-financial-management-project
Papua New Guinea: Rehabilitation of the Maritime Navigation Aids System Project,Papua New Guinea,Transport,31-07-11,"1. Resident missions can play a pivotal role in rigorous project supervision by ensuring project implementation is on track and that ADB loan funds are fully used for the intended purposes within the planned loan closing date. Although the Papua New Guinea Resident Mission (PNRM) was formally established in 2003, which was almost midway in the implementation of Papua New Guinea's Rehabilitation of the Maritime Navigation Aids System Project, project completion report does not indicate whether PNRM support was sought for project supervision. Such support would have been helpful in expediting the consultant selection approval process, the award of contracts, and completion of the training program. [Main text, page 10]

project cycle stage: Implementation

Lesson Topics: 


1. Resident missions can play a pivotal role in rigorous project supervision by ensuring project implementation is on track and that ADB loan funds are fully used for the intended purposes within the planned loan closing date. Although the Papua New Guinea Resident Mission (PNRM) was formally established in 2003, which was almost midway in the implementation of Papua New Guinea's Rehabilitation of the Maritime Navigation Aids System Project, project completion report does not indicate whether PNRM support was sought for project supervision. Such support would have been helpful in expediting the consultant selection approval process, the award of contracts, and completion of the training program. [Main text, page 10]

project cycle stage: Implementation

Lesson Topics:",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/papua-new-guinea-rehabilitation-maritime-navigation-aids-system-project
Philippines: Technical Education and Skills Development Project and Fund for Technical Education and Skills Development,Philippines,Education,27-12-12,"Aid agencies need to make the criteria for their support clear to the government counterpart, while understanding why the government is seeking assistance in the first place. In the case of Danish International Development Agency (Danida), they held the funding as they wanted Technical Education and Skills Development Authority (TESDA) to (i) receive an adequate budget allocation, and (ii) seek reimbursement from Danida after spending their own budgetary resources. However, the government had a budget problem. Danida spent 2 years trying to encourage the budget allocation for TESDA, but that did not happen. Danida eventually canceled their portion after 2 years. [Main text, para. 29]

project cycle stage: Country Partnership Strategy

Lesson Topics: 
Crosscutting Issues/Themes: Harmonization
Finance & Financial Aspects: Counterpart funds
Loan Agreement: Covenants
Loan Agreement: Loan Agreement",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/philippines-technical-education-and-skills-development-project-and-fund-technical-educatio
Philippines: Power Sector Development Program,Philippines,Energy,17-12-12,"While cluster program designs provide the benefit of flexibility (i.e., deferring subprograms wherein the program design cannot be fully defined at appraisal), care must be taken to maximize the achievement of critical objectives even if ongoing subprograms are canceled. [Main text, para. 23]

project cycle stage: Design

Lesson Topics:",Validation of Project/Program Completion Report,Partly/less than successful,http://www.adb.org/documents/philippines-power-sector-development-program
Philippines: Bukidnon Integrated Area Development Project,Philippines,"Agriculture, Natural Resources, and Rural Development",01-12-11,"1. The financial impact of projects on local governments needs to be ascertained at project preparation to ensure that these can meet their financial obligations. For example, it would have been clear that the Bukidnon Integrated Area Development Project in the Philippines could not have met the financial requirements of the project�to invest $12 million of its own resources, and to pay high interest on $14 million borrowed from Mindanao Development Fund. Unless viable options are found to fund local investments, a project of this type should not proceed. [Main text, para. 23]

project cycle stage: Feasibility, Appraisal

Lesson Topics: 
Project Design: Appraisal
Country Context: political economy factors",Validation of Project/Program Completion Report,Partly/less than successful,http://www.adb.org/documents/philippines-bukidnon-integrated-area-development-project
Philippines: Secondary Education Development and Improvement Project,Philippines,Education,01-12-11,"1. More innovative cost sharing arrangements need to be developed so that poor local government units (LGUs) are not hindered from participating in programs that require counterpart equity. Under the Secondary Education Development and Improvement Project in the Philippines, LGU involvement was incorporated into the school building program to promote partnership with local stakeholders. The program required LGUs to provide 25% of the construction costs for the required school facilities. Unfortunately, most participating LGUs found it difficult to provide equity funds which led to postponed construction. [PVR Main text, para. 21; see also PCR Main text, para. 21]

project cycle stage: Design

Lesson Topics: 
Finance & Financial Aspects: Counterpart funds
Sector Related Issues: Education",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/philippines-secondary-education-development-and-improvement-project
Philippines: Mindanao Basic Urban Services Sector Project,Philippines,"Transport, Water and Other Urban Infrastructure and Services",30-09-11,"1. There is a need for improved and expeditious processing of approvals both within ADB business processes and within the government to avoid delays to approval of variation requests and other procurement matters.

project cycle stage: Appraisal Implementation

Lesson Topics: 
Capacity Development: Capacity development
Capacity Development: Institutional analysis",Validation of Project/Program Completion Report,Partly/less than successful,http://www.adb.org/documents/philippines-mindanao-basic-urban-services-sector-project
Philippines: Metropolitan Waterworks and Sewerage System New Water Source Development Project,Philippines,Water and Other Urban Infrastructure and Services,31-07-11,"1. To identify potential sector programming issues, ADB needs to actively engage with other development partners' on their investment plans prior to or in the early stage of loan implementation and match its own comparative advantage in offering assistance to a DMC. In the case of the Angat Water Utilization and Aqueduct Improvement Project in the Philippines where, instead of pursuing the ADB multitranche financing facility, the government opted for a loan from the Government of the People's Republic of China. The government deal with many official development assistance partners, and there are grants and loans with better conditions than ADB loans. While the project team insists that the government decision to change its funding source was unexpected, through project documents, the validation report did not find significant evidence suggesting that ADB actively explored other development partners' investment plans in the sector, prior to or in the early stage of the loan implementation, nor did it assess its own comparative advantage in offering its assistance to the Philippine development assistance environment in the water sector. A master plan for water resource development in each river basin including careful assessment of conflicting responsibilities for regulation, extraction, and approval in the sector is needed for future ADB engagement. [Main text, page 5]

project cycle stage: Design, Feasibility, Appraisal

Lesson Topics: 
Project Design: Appraisal
Project Design: Project design
Sector Related Issues: Water resource management",Validation of Project/Program Completion Report,Partly/less than successful,http://www.adb.org/documents/philippines-metropolitan-waterworks-and-sewerage-system-new-water-source-development-proje
Economic Recovery Support Program - Subprograms 1 and 2: Validation of Completion Report,Samoa,"Education, Energy, Information and Communication Technology, Public Sector Management, Water and Other Urban Infrastructure and Services",30-01-15,"The PCR (program completion report) section on lessons provided useful lessons on the inherent challenges for the Pacific member countries to undertake long-term structural adjustments, such as SOE (state-owned enterprise) reforms, and changes to land tenure and trade regime. This is mainly from a political economy perspective. Any long-term structural adjustments would need sustained negotiations with the government and the support of all the major development partners. This validation concurs with this finding.
project cycle stage: Implementation

This validation adds that targets and indicators in the DMF (design and monitoring framework) of program loans such as this need to be extremely conscious of exogenous factors. There is also a need for ADB program to assign focus areas for policy coordination and monitoring among ADB and other development partners so that respective contributions to policy dialogue under the different program components can be traced.
project cycle stage: Design, Implementation",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/samoa-economic-recovery-support-program-subprograms-1-and-2
Samoa: Small Business Development Project,Samoa,Industry and Trade,31-01-11,"1. To improve the prospects for successful project implementation, achieving the desired outcomes and outputs, and maintaining sustainability in the medium term: (i) the focus and selection of project components must consider the developmental context of the country and its absorptive capacity; and (ii) preparedness and viability of proposed component, including likelihood of their adoption by obtaining firm upfront commitments from the parties that champion their promotion, must be ascertained. Under the Small Business Development Project in Samoa, the latter does not appear to have been done  on one of its components, Venture Capital Fund (VCF). The report and recommendation of the president was more of a description of what the proposed VCF would look like. Many loose ends, including critical issues such as shareholder contributions, choice of the fund manager and key staff, and tax liability, were left to be sorted out during implementation which took time for resolution, and the VCF was closed without doing any business after determining that it was unlikely to be financially viable. [Main text, pages 7-8]

project cycle stage: Implementation, Completion Operation

Lesson Topics: 
Project Design: Project design
Project Management: Project management",Validation of Project/Program Completion Report,Partly/less than successful,http://www.adb.org/documents/samoa-small-business-development-project
Solomon Islands: Post-Conflict Emergency Rehabilitation Project,Solomon Islands,"Education, Health, Water and Other Urban Infrastructure and Services",11-07-11,"1. In the case of countries with potential debt service payment risks, incorporating a debt sustainability analysis in the risk and vulnerability assessment of the project can help anticipate the potential risks to ADB. In the Post-conflict Emergency Rehabilitation Project, the country's severe budgetary constraint in early 2000 meant the government will be unable to finance any reconstruction work in the short term. ADB could have identified this potential debt payment issue by doing a simple debt sustainability analysis and instituted necessary mitigation measures to avoid 3-year delay in project implementation. [PVR Main text, pages 6-7; see also PCR Main text, para. 5]

project cycle stage: Design Appraisal

Lesson Topics: 
Project Design: Appraisal
Country Context: Conflict/Post-conflict
Country Context: Emergency",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/solomon-islands-post-conflict-emergency-rehabilitation-project
Sri Lanka: Forest Resources Management Sector Project,Sri Lanka,"Agriculture, Natural Resources, and Rural Development",01-12-11,"1. Projects, which include enactment of legislations, should be provided ample implementation timeframes. The difficulty of enacting legislation in support of a project activity and within the timeframe of a project is often underestimated. The estimated implementation time of the Forest Resources Management Sector Project in Sri Lanka project should have considered possible difficulties faced by line agencies in pushing for the component legislation through the national parliament. [Main text, paras. 21, 24]

project cycle stage: Implementation

Lesson Topics: 
Policy & Reform: Policy reforms/framework
Policy & Reform: Reform",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/sri-lanka-forest-resources-management-sector-project
Sri Lanka: North East Community Restoration and Development Project,Sri Lanka,Public Sector Management,30-09-10,"It is noted that the project worked well with both sides in the conflict, and was well accepted in conflict-affected areas. Developing this type of rapport is important, and reflects well on the project implementers. The lessons should be relevant in other conflict or post-conflict situations.[Main text, page 8, section E(ii)]

project cycle stage: Implementation

Lesson Topics:",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/sri-lanka-north-east-community-restoration-and-development-project
Sustainable Cotton Subsector Project: Validation of Completion Report,Tajikistan,"Agriculture, Natural Resources, and Rural Development, Finance",16-01-15,"This validation subscribes to the major lessons the PCR (project completion report) drew out for ADB operations. The PCR noted that the project's amended purpose and objectives, as well as the corresponding outputs needed to meet them, were clearly stated. At the same time, the PCR noted that many operational and management lapses could have been immediately and effectively averted if the executing agencies had a better appreciation of the processes, procedures, and requirements of the project and helped ensure government's commitment to project objectives. Baseline data and monitoring reports were not complied with. Required contractual agreements were only halfheartedly pursued. Clearly, the implementing institutions' earlier and closer guidance on the processes and procedures for procuring goods and services, and the timely selection of private partners could have avoided implementation slippage. Due diligence on the capacity and commitment of government partner institutions, like the MOA (Ministry of Agriculture), to implement components assigned to them should have been undertaken at appraisal to determine the risks and sustainability of involving them.
project cycle stage: Implementation",Validation of Project/Program Completion Report,Partly/less than successful,http://www.adb.org/documents/tajikistan-sustainable-cotton-subsector-project
Tajikistan: Health Sector Reform Project,Tajikistan,Health,10-12-12,"Relative success of the project was facilitated by: (i) Installation of project management at a very high level with the President's office as executing agency and the deputy prime minister as project coordinator. With such high level management support, the adoption of key policy recommendations and implementation of essential reform packages had a much better chance of being acted upon more quickly than if it were anchored on a weak ministry that still needed reform and strengthening.; and (ii) ADB's having frequent review missions at the initial stage, active participation in technical discussions, and prompt action on project requests, were critical factors in ensuring that the project remained responsive to recurrent and emerging needs and that implementation was on track with the project timelines. [Main text, para. 32]

project cycle stage: Design, Implementation

Lesson Topics: 
Monitoring & Evaluation: Monitoring and evaluation
Project Management: Executing/Implementing agencies
Project Management: Project management",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/tajikistan-health-sector-reform-project
Republic of Tajikistan: Dushanbe-Kyrgyz Border Rehabilitation Project (Phase I),Tajikistan,Transport,01-12-11,"1. The approach used in calculating the economic internal rate of return at completion should be consistent with the approach adopted at appraisal. This will provide a realistic and reliable comparison of before and after project economic benefits. [Main text, paras. 16, 23]

project cycle stage: Appraisal Completion

Lesson Topics: 
Monitoring & Evaluation: Benefit monitoring and evaluation
Project Design: Appraisal",Validation of Project/Program Completion Report,Successful/Generally successful,http://www.adb.org/documents/republic-tajikistan-dushanbe-kyrgyz-border-rehabilitation-project
